Date,Country,City,co,no2,o3,pm10,pm25,so2,aqi
2019-01-03,US,Saint Paul,3.2,12.1,17.6,8.0,21.0,1.5,70.0
2019-01-03,US,Salem,5.7138446682611495,8.420395101030527,13.785207100591691,16.576044316846968,14.0,1.2542802878751702,55.0
2019-01-03,US,Salt Lake City,3.8,32.5,5.6,16.576044316846968,62.0,1.2542802878751702,154.0
2019-01-03,US,San Antonio,5.7138446682611495,8.420395101030527,9.6,16.576044316846968,15.0,1.2542802878751702,57.0
2019-01-03,US,San Diego,6.1,17.6,8.0,16.576044316846968,65.0,1.5,156.0
2019-01-03,US,San Francisco,5.7,19.5,7.3,15.6,68.0,1.5,157.0
2019-01-03,US,San Jose,7.2,23.2,9.6,11.0,55.0,1.5,149.0
2019-01-03,US,Seattle,3.2,17.6,14.5,16.576044316846968,19.0,1.5,66.0
2019-01-03,US,Springfield,5.7138446682611495,8.420395101030527,25.43370786516858,16.576044316846968,30.0,1.2542802878751702,89.0
2019-01-03,US,Staten Island,3.4,20.4,9.6,16.576044316846968,30.0,1.5555555555555554,89.0
2019-01-03,US,Tallahassee,9.1,8.420395101030527,8.2,16.576044316846968,23.0,0.600000000000001,74.0
2019-01-03,US,The Bronx,2.46676923076923,19.6,48.09352941176471,16.576044316846968,20.991202346041057,1.2542802878751702,70.0
2019-01-03,US,Tucson,3.7,14.2,9.6,18.0,38.0,0.2,107.0
2019-01-03,US,Washington D.C.,0.3,8.2,9.0,16.576044316846968,25.0,0.7,78.0
2019-01-04,US,Albuquerque,3.0,18.6,20.8,26.0,32.0,1.5,93.0
2019-01-04,US,Atlanta,2.0,4.7,8.8,6.0,14.0,1.3642570281124482,55.0
2019-01-04,US,Austin,5.7138446682611495,8.420395101030527,14.5,16.576044316846968,22.0,1.2542802878751702,72.0
2019-01-04,US,Baltimore,5.7138446682611495,21.3,5.6,17.0,51.0,2.9,139.0
2019-01-04,US,Boise,5.6,10.080740740740742,13.9,13.0,30.0,1.1,89.0
2019-01-04,US,Boston,3.0,11.2,14.5,16.576044316846968,38.0,1.5,107.0
2019-01-04,US,Brooklyn,1.838244514106583,12.36459627329193,4.8,16.576044316846968,53.0,1.2542802878751702,144.0
2019-01-04,US,Charlotte,1.0,8.420395101030527,10.4,16.576044316846968,14.0,2.0773809523809526,55.0
2019-01-04,US,Chicago,4.7,16.7,8.8,25.0,42.0,1.5,117.0
2019-01-04,US,Columbia,5.7138446682611495,8.420395101030527,13.6,16.576044316846968,15.0,1.517283950617284,57.0
2019-01-04,US,Columbus,2.3,13.9,29.35039682539685,16.576044316846968,51.0,1.54,139.0
2019-01-04,US,Dallas,5.7138446682611495,8.420395101030527,16.0,16.576044316846968,19.0,1.2542802878751702,66.0
2019-01-04,US,Denver,5.5,17.9,8.2,27.0,34.0,1.1,97.0
2019-01-04,US,Detroit,0.20833333333333334,8.420395101030527,10.4,23.0,48.0,1.5,132.0
2019-01-04,US,El Paso,5.7138446682611495,5.6,15.2,13.0,34.0,1.2542802878751702,97.0
2019-01-04,US,Fort Worth,5.7138446682611495,8.420395101030527,18.4,16.576044316846968,18.0,1.2542802878751702,63.0
2019-01-04,US,Fresno,8.4,19.5,4.0,41.0,84.0,1.59375,166.0
2019-01-04,US,Hartford,4.7,9.6,2.9,17.0,42.0,1.2542802878751702,117.0
2019-01-04,US,Honolulu,3.4,8.420395101030527,27.2,13.0,17.0,1.5,61.0
2019-01-04,US,Houston,5.7138446682611495,8.420395101030527,9.6,16.576044316846968,28.0,1.2542802878751702,84.0
2019-01-04,US,Indianapolis,3.5,11.2,10.4,17.0,46.0,1.5,127.0
2019-01-04,US,Jackson,0.5,3.1,15.2,16.576044316846968,15.0,1.5,57.0
2019-01-04,US,Jacksonville,4.3,4.6,8.6,12.0,25.0,0.6,78.0
2019-01-04,US,Las Vegas,0.1,15.7,3.7,24.0,46.0,1.5,127.0
2019-01-04,US,Little Rock,5.7138446682611495,8.420395101030527,8.8,16.576044316846968,15.0,1.2542802878751702,57.0
2019-01-04,US,Los Angeles,8.7,38.0,4.8,31.0,68.0,1.5,157.0
2019-01-04,US,Madison,5.7138446682611495,8.420395101030527,25.243255813953493,8.0,29.0,0.7405660377358472,87.0
2019-01-04,US,Manhattan,3.4,26.9,4.8,16.576044316846968,52.0,1.2542802878751702,142.0
2019-01-04,US,Memphis,5.7138446682611495,8.420395101030527,8.8,16.576044316846968,16.0,1.2542802878751702,59.0
2019-01-04,US,Miami,2.3,0.6666666666666666,9.4,17.526315789473685,25.0,0.6030769230769196,78.0
2019-01-04,US,Milwaukee,4.7,16.7,12.8,25.0,40.0,1.5,112.0
2019-01-04,US,Nashville,5.7138446682611495,8.420395101030527,0.8,16.576044316846968,15.0,1.2542802878751702,57.0
2019-01-04,US,Oakland,8.2,26.9,4.8,15.6,80.0,1.5,164.0
2019-01-04,US,Oklahoma City,4.5,6.5,12.1,11.0,40.0,1.5,112.0
2019-01-04,US,Omaha,2.5,8.420395101030527,10.4,10.0,25.0,1.5,78.0
2019-01-04,US,Philadelphia,3.4,14.9,6.4,16.576044316846968,53.0,1.5,144.0
2019-01-04,US,Phoenix,6.7,26.0,4.8,23.0,52.0,0.1,142.0
2019-01-04,US,Portland,3.4,9.6,0.8,16.576044316846968,17.0,0.3,61.0
2019-01-04,US,Providence,4.4,20.4,16.0,16.576044316846968,34.0,1.5,97.0
2019-01-04,US,Queens,4.0,25.4,3.2,16.576044316846968,51.0,1.2542802878751702,139.0
2019-01-04,US,Raleigh,3.2,8.4,15.2,10.0,25.0,1.5,78.0
2019-01-04,US,Richmond,0.1,4.5,4.1,16.576044316846968,33.0,0.2,95.0
2019-01-04,US,Sacramento,5.7138446682611495,14.9,0.1,47.0,91.0,1.2542802878751702,169.0
2019-01-04,US,Saint Paul,3.3,13.0,15.2,9.0,25.0,1.5,78.0
2019-01-04,US,Salem,5.7138446682611495,8.420395101030527,13.785207100591691,16.576044316846968,23.0,1.2542802878751702,74.0
2019-01-04,US,Salt Lake City,6.3,35.2,4.0,16.576044316846968,69.0,1.2542802878751702,158.0
