co,no2,o3,pm10,pm25,predicted aqi,City,Date
2.8652169542887327,7.6465755863285905,19.80643274853802,18.47656723982837,55.0,143.78779887464054,Salem,2020-12-29
3.5,20.4,16.8,20.96808510638298,30.0,88.77110990184917,Salt Lake City,2020-12-29
2.8652169542887327,2.2,24.8,18.47656723982837,16.0,59.627395108107294,San Antonio,2020-12-29
2.3,3.8,22.4,18.47656723982837,14.0,55.21076002373468,San Diego,2020-12-29
5.9,14.9,4.8,18.47656723982837,25.0,78.4535171598194,San Francisco,2020-12-29
7.4,17.6,7.3,18.47656723982837,38.0,106.44819921947214,San Jose,2020-12-29
4.4,16.7,3.2,18.47656723982837,48.0,128.1383975783757,Seattle,2020-12-29
2.8652169542887327,7.6465755863285905,24.821285140562267,18.47656723982837,41.0,113.4338176499075,Springfield,2020-12-29
2.3,10.2,20.0,18.47656723982837,23.0,74.33375411742395,Staten Island,2020-12-29
1.4740740740740745,7.6465755863285905,13.0,15.283582089552239,45.0,122.39224108959502,Tallahassee,2020-12-29
2.0,11.320197044334977,22.4,18.47656723982837,30.0,89.41545237323305,The Bronx,2020-12-29
1.7,2.6,28.9,14.0,21.0,70.80032815067727,Tucson,2020-12-29
1.4,2.8,13.0,18.47656723982837,21.0,70.36138334876375,Washington D.C.,2020-12-29
2.7,11.2,20.0,13.0,21.0,70.82003198196594,Albuquerque,2020-12-30
2.6,4.0,17.6,22.0,58.0,150.41506534693792,Atlanta,2020-12-30
2.8652169542887327,1.4,18.4,18.47656723982837,17.0,62.12569495917796,Austin,2020-12-30
2.8652169542887327,8.4,20.0,10.0,33.0,97.20869382436524,Baltimore,2020-12-30
1.9,6.5,12.1,16.0,42.0,116.21041127909746,Boise,2020-12-30
2.8,9.3,18.4,18.47656723982837,21.0,70.36005686363683,Boston,2020-12-30
2.9,10.695483870967745,16.8,18.47656723982837,24.0,76.77687582236149,Brooklyn,2020-12-30
2.224517906336088,5.8951754385964925,16.8,13.0,42.0,116.5075422985035,Charlotte,2020-12-30
2.8,7.5,16.8,14.0,40.0,111.99305973253581,Chicago,2020-12-30
2.3,9.3,27.718775510204093,18.47656723982837,28.0,85.48311629928446,Columbus,2020-12-30
1.2,2.3,13.6,9.0,16.0,60.77529670672084,Dallas,2020-12-30
3.0,12.4,7.8,20.0,25.0,78.67958959311329,Denver,2020-12-30
4.5,7.5,14.5,8.0,33.0,97.39007856908358,Detroit,2020-12-30
2.3,4.7,24.8,18.0,13.0,53.269152888745566,El Paso,2020-12-30
2.8652169542887327,2.6,15.2,18.47656723982837,13.0,53.32874483107116,Fort Worth,2020-12-30
5.0,13.9,2.4,23.0,72.0,180.03254680506996,Fresno,2020-12-30
3.8,8.3,7.8,11.0,25.0,79.7207203500742,Hartford,2020-12-30
5.6,7.6465755863285905,21.6,16.0,21.0,70.60178840743583,Honolulu,2020-12-30
1.2,5.1,22.4,18.47656723982837,26.0,81.31349091663935,Houston,2020-12-30
3.7,7.5,14.5,12.0,39.0,109.94944145473539,Indianapolis,2020-12-30
1.2,5.3,28.1,17.0,27.0,83.5940618730707,Jackson,2020-12-30
4.6,4.7,10.6,21.0,41.0,113.54709920973198,Jacksonville,2020-12-30
0.1,8.4,10.2,13.0,15.0,57.837982919503816,Las Vegas,2020-12-30
2.8652169542887327,7.6465755863285905,16.0,18.47656723982837,26.0,81.15259108446276,Little Rock,2020-12-30
5.3,32.5,1.6,21.0,53.0,138.08265448613952,Los Angeles,2020-12-30
2.8652169542887327,7.6465755863285905,29.0680751173709,10.0,39.0,110.08858213789256,Madison,2020-12-30
2.6,16.7,16.8,18.47656723982837,25.0,78.50389300407346,Manhattan,2020-12-30
2.8652169542887327,7.6465755863285905,23.3,18.47656723982837,26.0,81.12324921006416,Memphis,2020-12-30
1.1,7.6465755863285905,16.3,4.0,15.0,58.69812181577288,Miami,2020-12-30
2.8,7.5,18.8,13.0,42.0,116.28111656448903,Milwaukee,2020-12-30
2.8652169542887327,7.6465755863285905,22.92798507462688,18.47656723982837,42.0,115.73957764289173,Nashville,2020-12-30
5.0,13.9,12.8,18.47656723982837,30.0,89.43934962073251,Oakland,2020-12-30
3.4,3.8,12.8,8.0,23.0,75.80385219587856,Oklahoma City,2020-12-30
2.2,7.6465755863285905,15.2,6.0,21.0,71.46205442243513,Omaha,2020-12-30
1.2,7.5,20.8,18.47656723982837,30.0,89.74610842815355,Philadelphia,2020-12-30
3.0,8.3,16.0,13.0,20.0,68.57828077026898,Phoenix,2020-12-30
0.1,10.2,0.1,18.47656723982837,18.0,63.627934990181416,Portland,2020-12-30
3.7,18.6,22.4,18.47656723982837,21.0,69.67300062614584,Providence,2020-12-30
2.9,16.6,16.0,18.47656723982837,24.0,76.26654754810443,Queens,2020-12-30
3.0,10.2,16.8,10.0,25.0,79.56605498594445,Raleigh,2020-12-30
0.1,3.3,11.0,18.47656723982837,29.0,87.76276151808543,Richmond,2020-12-30
2.8652169542887327,8.4,0.1,22.0,57.0,147.77271604064674,Sacramento,2020-12-30
1.8,6.5,18.4,10.0,38.0,107.87757148996957,Saint Paul,2020-12-30
2.8652169542887327,7.6465755863285905,19.80643274853802,18.47656723982837,12.0,50.7146928670204,Salem,2020-12-30
3.8,27.8,12.1,20.96808510638298,50.0,131.6984501277691,Salt Lake City,2020-12-30
2.8652169542887327,2.1,21.6,18.47656723982837,30.0,89.950392727946,San Antonio,2020-12-30
4.4,13.0,7.3,18.47656723982837,36.0,102.37920178555646,San Diego,2020-12-30
5.3,10.2,16.0,18.47656723982837,21.0,70.0409482083229,San Francisco,2020-12-30
6.4,19.5,9.6,18.47656723982837,38.0,106.36038492694274,San Jose,2020-12-30
2.5,13.9,18.4,18.47656723982837,18.0,63.34423284620732,Seattle,2020-12-30
2.8652169542887327,7.6465755863285905,24.821285140562267,18.47656723982837,38.0,106.94983948886693,Springfield,2020-12-30
3.4,26.9,11.2,18.47656723982837,23.0,73.49116827018429,Staten Island,2020-12-30
1.4740740740740745,7.6465755863285905,12.2,15.283582089552239,40.0,111.57917372529948,Tallahassee,2020-12-30
2.7,11.320197044334977,18.4,18.47656723982837,27.0,82.9329874193669,The Bronx,2020-12-30
2.7,9.8,17.9,16.0,25.0,78.91289629064511,Tucson,2020-12-30
1.4,10.2,11.4,18.47656723982837,26.0,80.81651609092421,Washington D.C.,2020-12-30
3.2,12.1,19.2,17.0,23.0,74.7297918501398,Albuquerque,2020-12-31
3.6,6.5,4.8,25.0,65.0,165.16767306949214,Atlanta,2020-12-31
2.8652169542887327,0.7,17.6,18.47656723982837,17.0,62.172162404216124,Austin,2020-12-31
2.8652169542887327,8.4,14.5,10.0,28.0,86.39778369587896,Baltimore,2020-12-31
3.2,12.1,2.4,18.0,53.0,139.55738483019968,Boise,2020-12-31
2.4,4.7,20.0,18.47656723982837,21.0,70.605587064985,Boston,2020-12-31
2.6,10.695483870967745,18.4,18.47656723982837,39.0,109.2574091305031,Brooklyn,2020-12-31
1.0,5.8951754385964925,2.4,17.0,55.0,144.282498843682,Charlotte,2020-12-31
3.0,10.2,19.2,20.0,52.0,137.26452750359942,Chicago,2020-12-31
1.2,4.7,27.718775510204093,18.47656723982837,44.0,120.36535475560743,Columbus,2020-12-31
1.2,2.3,16.8,4.0,12.0,52.60498459986195,Dallas,2020-12-31
6.1,18.3,3.7,33.0,61.0,155.07028614261958,Denver,2020-12-31
4.5,8.4,18.4,16.0,52.0,137.7144006582131,Detroit,2020-12-31
2.3,7.5,16.8,17.0,17.0,61.894341278878755,El Paso,2020-12-31
2.8652169542887327,2.6,16.8,18.47656723982837,21.0,70.656042449692,Fort Worth,2020-12-31
